name,region_code,code,id,province_code,district_code,city_class
City of Caloocan,1300000000,1380100000,1,,,
City of Las Piñas,1300000000,1380200000,2,,,
City of Makati,1300000000,1380300000,3,,,
City of Malabon,1300000000,1380400000,4,,,
City of Mandaluyong,1300000000,1380500000,5,,,
City of Manila,1300000000,1380600000,6,,,
City of Marikina,1300000000,1380700000,7,,,
City of Muntinlupa,1300000000,1380800000,8,,,
City of Navotas,1300000000,1380900000,9,,,
City of Parañaque,1300000000,1381000000,10,,,
Pasay City,1300000000,1381100000,11,,,
City of Pasig,1300000000,1381200000,12,,,
Quezon City,1300000000,1381300000,13,,,
City of San Juan,1300000000,1381400000,14,,,
City of Taguig,1300000000,1381500000,15,,,
City of Valenzuela,1300000000,1381600000,16,,,
Pateros,1300000000,1381701000,17,,,
Bangued,1400000000,1400101000,18,1400100000,,
Boliney,1400000000,1400102000,19,1400100000,,
Bucay,1400000000,1400103000,20,1400100000,,
Bucloc,1400000000,1400104000,21,1400100000,,
Daguioman,1400000000,1400105000,22,1400100000,,
Danglas,1400000000,1400106000,23,1400100000,,
Dolores,1400000000,1400107000,24,1400100000,,
La Paz,1400000000,1400108000,25,1400100000,,
Lacub,1400000000,1400109000,26,1400100000,,
Lagangilang,1400000000,1400110000,27,1400100000,,
Lagayan,1400000000,1400111000,28,1400100000,,
Langiden,1400000000,1400112000,29,1400100000,,
Licuan-Baay,1400000000,1400113000,30,1400100000,,
Luba,1400000000,1400114000,31,1400100000,,
Malibcong,1400000000,1400115000,32,1400100000,,
Manabo,1400000000,1400116000,33,1400100000,,
Peñarrubia,1400000000,1400117000,34,1400100000,,
Pidigan,1400000000,1400118000,35,1400100000,,
Pilar,1400000000,1400119000,36,1400100000,,
Sallapadan,1400000000,1400120000,37,1400100000,,
San Isidro,1400000000,1400121000,38,1400100000,,
San Juan,1400000000,1400122000,39,1400100000,,
San Quintin,1400000000,1400123000,40,1400100000,,
Tayum,1400000000,1400124000,41,1400100000,,
Tineg,1400000000,1400125000,42,1400100000,,
Tubo,1400000000,1400126000,43,1400100000,,
Villaviciosa,1400000000,1400127000,44,1400100000,,
Atok,1400000000,1401101000,45,1401100000,,
Bakun,1400000000,1401103000,46,1401100000,,
Bokod,1400000000,1401104000,47,1401100000,,
Buguias,1400000000,1401105000,48,1401100000,,
Itogon,1400000000,1401106000,49,1401100000,,
Kabayan,1400000000,1401107000,50,1401100000,,
Kapangan,1400000000,1401108000,51,1401100000,,
Kibungan,1400000000,1401109000,52,1401100000,,
La Trinidad,1400000000,1401110000,53,1401100000,,
Mankayan,1400000000,1401111000,54,1401100000,,
Sablan,1400000000,1401112000,55,1401100000,,
Tuba,1400000000,1401113000,56,1401100000,,
Tublay,1400000000,1401114000,57,1401100000,,
Banaue,1400000000,1402701000,58,1402700000,,
Hungduan,1400000000,1402702000,59,1402700000,,
Kiangan,1400000000,1402703000,60,1402700000,,
Lagawe,1400000000,1402704000,61,1402700000,,
Lamut,1400000000,1402705000,62,1402700000,,
